,label,tweet,gender,katakunci,pasal,status,kronologis,agama
10,anger,betul min rakyat indonesia sekarang harapan nya tinggal sama tni saja  kalau yang lain lihat saja  sudah jelas penyerangan ke kantor media  katanya tidak ada unsur pidananya  sudah jelas menghina presiden indonesia yang sah  cuma lucu lucu an saja     ,Laki-laki,"Cina, anus, toilet, jamban, tai",pengancaman,dihentikan karena restorative jaustice,"Tersangka MEMBUAT, MERUBAH FOTO DAN MENYEBARLUASKAN di Grup wasehingga korban merasa MALU DAN NAMA BAIK TERCEMAR",Kristen Protestan
11,anger,kalaupun fansite ngejual hasil jepretan mereka toh uang nya lari ke idol juga  beliin mereka hadiah dsb kan  kpopers baru ya  fansite sudah ada dari jaman kamera belom sebening sekarang ,Laki-laki,"bom, tidak tahu diri","Pasal 45 ayat (3) Jo Pasal 27 ayat (3) Undang-Undang Nomor 19 Tahun 2016 tentang Perubahan Atas Undang-Undang Nomor 11 Tahun 2008, tentang Informasi Dan Transaksi Elektronik (Penghinaan/PNB).",Naik kejaksaan,mengubah dan menampilkan tulisan pada running Text milik Hotel Megaland dengan tulisan “TERIMA SERVICE JEMBUT MEMEK”. Yang terjadi pada hari Rabu Tanggal 28 Februari 2018 sekira pukul 20.00 WIB di Hotel Megaland Surakarta,Islam
12,happy,sangat bersyukur bisa mendoakan kakeknya  bung karno  bersama anak anak yatim piatu           h,Perempuan,pelacur,KUHP Pasal 310,Naik kejaksaan,LEWAT STATUS DI WHATSAPP BERISI DAGANGAN SATE KORBAN YANG DICAMPUR DENGAN KEPALA TIKUS DST……,Islam
13,sadness,sulit menerima kenyataan memang bahwa ada sebagian yang menganggap ketika kita berinteraksi dengan satu orng dari satu golongan tertentu kita langsung mengatakan golongan tertentu sesaat tanpa kita mempelajari secara utuh dan mengklaim diri kita paling benar ,Perempuan,"Cina, anus, toilet, jamban, tai",Pencemaran nama baik,Penyelidikan,LEWAT STATUS DI WHATSAPP BERISI DAGANGAN SATE KORBAN YANG DICAMPUR DENGAN KEPALA TIKUS DST……,Islam
14,anger,samanye sudah maling semua tidak si jancok tidak si anjing tidak si siluman monyet hahahahaha satu hati sama sama maling     ,Laki-laki,Kodok betina,pengancaman,Naik kejaksaan,PENCEMARAN NAMA BAIK,Kristen
15,anger,ku juga ingin ngamuk bacain komen netizen yang mahabenar  ya lord  tidak abis pikir  komen macem gini yang bikin kasus pelecehan seksual akan tenggelam begitu saja  tidak ada hukuman untuk pelaku  lebih sedihnya  rerata yang komen jahat adalah perempuan  mbaq  kesehatanmu loh    ,Perempuan,"selingkuh, lobang kubur",Pencemaran nama baik,vonis 2 tahun,"Tersangka MEMBUAT, MERUBAH FOTO DAN MENYEBARLUASKAN di Grup wasehingga korban merasa MALU DAN NAMA BAIK TERCEMAR",Islam
16,love,setiap kesempatan yang pernah hadir tuk dapat membuatmu selalu merasa aman dan nyaman  kini jadi suatu kehormatan yang pernah didapat,Perempuan,"babi, muslim, fuck","Pasal 45 ayat (3) Jo Pasal 27 ayat (3) Undang-Undang Nomor 19 Tahun 2016 tentang Perubahan Atas Undang-Undang Nomor 11 Tahun 2008, tentang Informasi Dan Transaksi Elektronik (Penghinaan/PNB).",dihentikan karena restorative jaustice,PENGHINAAN DAN PENCEMARAN NAMA BAIK MELALUI AKUN FACEBOOK,Kristen
17,anger,sedap kali kau ya bobok dikasur ku  aku tidur kau ikut tidur  mau jadi apa kau   bacanya pake logat mamak dahlia di keluarga badak ,Laki-laki,"pembohong, pendusta",Pencemaran,vonis 2 tahun,mengubah dan menampilkan tulisan pada running Text milik Hotel Megaland dengan tulisan “TERIMA SERVICE JEMBUT MEMEK”. Yang terjadi pada hari Rabu Tanggal 28 Februari 2018 sekira pukul 20.00 WIB di Hotel Megaland Surakarta,Islam
18,happy,h   mau ke bank rame banget sampai antrian tempat duduknya ada diluar  toko emas meluber sampai tidak keliatan mbaknya yang jualan  ke swalayan antrian kasir naudzubilah panjang bener  pada bahagia semua kayaknya  semoga oh semoga rs sepi  pasien pada sembuh dan pulang untuk berbahagia ,Laki-laki,"Cina, anus, toilet, jamban, tai",KUHP Pasal 310,Penyelidikan,PENCEMARAN NAMA BAIK,Kristen
19,anger,benar hancur negara ini dikelola amatiran  tapi kenpak    tidak mengindahkan statementnya sendiri  negara miskin koordinasi  jangan asal gagahan    setalah salah dianulir mana marwahmu wahai mr     presiden    ,Laki-laki,"selingkuh, lobang kubur",UU ITE 27 Ayat 3,dihentikan karena restorative jaustice,PENCEMARAN NAMA BAIK,Kristen Protestan
20,anger,budayakan mencari dan membaca sebelum nanya ya  udah dijelaskan berkali kok  selama tidak diatur tidak ada ketentuan khusus  pakai aja,Laki-laki,"Cina, anus, toilet, jamban, tai",Pasal 315 KUHP,Putusan,"Tersangka MEMBUAT, MERUBAH FOTO DAN MENYEBARLUASKAN di Grup wasehingga korban merasa MALU DAN NAMA BAIK TERCEMAR",Kristen Protestan
21,sadness,separuh hati ini iri jika melihat seorang anak yang masih bisa duduk atau berjalan bersama ibundanya  dan separuh hati ini turut berempati melihat seorang anak yang begitu gundah saat ibundanya sakit  yang sabar ya kawan  semoga allah memberikan yang terbaik untuk kita semua ,Perempuan,"Cina, anus, toilet, jamban, tai",UU ITE 27 Ayat 3,vonis 2 tahun,"DI GRUP WHATSAPP, KORBAN MENGIRIM MAKANAN UNTUK SAUDARA PELAKU DAN SELANJUTNYA DIFOTO DAN DIKIRIM KE GRUP WHATSAPP KELUARGA PELAKU DAN DIKOMENTARI DENGAN KATA KATA TIDAK MENYENANGKAN YAITU “ATI-ATI",Kristen Protestan
22,happy,ketika aku tersenyum bukan berarti hidupku sempurna   aku hanya mensyukuri apa yang aku punya dan apa yang telah tuhan berikan untuk ku,Laki-laki,"babi, muslim, fuck",Pasal 315 KUHP,Restorative Justice,PENGHINAAN DAN PENCEMARAN NAMA BAIK MELALUI AKUN FACEBOOK,Kristen Protestan
23,sadness,dari mau tidur  tidur  sampai bangun tidur kok yaa seperti ngerasa aneh   tidak enak hati  udah dibawa istighfar masih saja  bangun tidur seperti sedih  seperti mikir tidak puguh  ini kenapa banget coba   ,Perempuan,"babi, biongo",pengancaman,vonis 2 tahun,mengubah dan menampilkan tulisan pada running Text milik Hotel Megaland dengan tulisan “TERIMA SERVICE JEMBUT MEMEK”. Yang terjadi pada hari Rabu Tanggal 28 Februari 2018 sekira pukul 20.00 WIB di Hotel Megaland Surakarta,Kristen
24,love,kan kupeluk engkau erat hingga tidak ada seorang pun yang bisa merebut mu dari pelukan ku happy anniversary sayang  ,Laki-laki,pelacur,Pencemaran nama baik,Naik kejaksaan,"DI GRUP WHATSAPP, KORBAN MENGIRIM MAKANAN UNTUK SAUDARA PELAKU DAN SELANJUTNYA DIFOTO DAN DIKIRIM KE GRUP WHATSAPP KELUARGA PELAKU DAN DIKOMENTARI DENGAN KATA KATA TIDAK MENYENANGKAN YAITU “ATI-ATI",Kristen Protestan
25,anger,kalo mau ganti presiden itu harus jelas siapa calonnya  terus diadu program kerjanya  ini koalisi belum ditentuin bisanya cuman buat kaos dan tagar,Laki-laki,"bom, tidak tahu diri",UU ITE 27 Ayat 3,lidik,"DI GRUP WHATSAPP, KORBAN MENGIRIM MAKANAN UNTUK SAUDARA PELAKU DAN SELANJUTNYA DIFOTO DAN DIKIRIM KE GRUP WHATSAPP KELUARGA PELAKU DAN DIKOMENTARI DENGAN KATA KATA TIDAK MENYENANGKAN YAITU “ATI-ATI",Islam
26,happy,sukses dan keren banget dengan no  kualitas bahan krja itu cita pu agar warisan sampai ke cu sukses tims bbpjn barokah terlimpahkan,Laki-laki,"bom, tidak tahu diri",UU ITE 27 Ayat 3,dihentikan karena restorative jaustice,PENGHINAAN DAN PENCEMARAN NAMA BAIK MELALUI AKUN FACEBOOK,Islam
27,anger,udah mau sarjana  kali  mbokya mulut nya jangan ketinggalan buat belajar  sekiranya itu tidak perlu diungkapkan  nambah dosa   nyakitin hati orangnya mending diem saja lah  kasian anda nya yang di julidin sama orang ,Laki-laki,Kodok betina,pengancaman,dihentikan karena restorative jaustice,mengubah dan menampilkan tulisan pada running Text milik Hotel Megaland dengan tulisan “TERIMA SERVICE JEMBUT MEMEK”. Yang terjadi pada hari Rabu Tanggal 28 Februari 2018 sekira pukul 20.00 WIB di Hotel Megaland Surakarta,Islam
28,anger,gimana orang tidak nilai dari jilbab syari tidak nya  kadang gemez sama orang yang dikelas diem saja eh di grup wa bisanya dia nyeletuk mengarah ke social harassment ,Perempuan,Kodok betina,"Pasal 45 ayat (3) Jo Pasal 27 ayat (3) Undang-Undang Nomor 19 Tahun 2016 tentang Perubahan Atas Undang-Undang Nomor 11 Tahun 2008, tentang Informasi Dan Transaksi Elektronik (Penghinaan/PNB).",Naik kejaksaan,PENGHINAAN DAN PENCEMARAN NAMA BAIK MELALUI AKUN FACEBOOK,Kristen Protestan
29,fear,hari ini jadwal presentasi proker di lppm  karena ada praktikum jadinya pak ketua di temani sekretaris   tapi selaku penanggung jawab ada di sekretaris  jadi deg deg an ini  bismillah pak ketua  omong-omong pen upload foto pak ketua tapi jangan dulu yaa  ,Laki-laki,"selingkuh, lobang kubur",Pencemaran nama baik,Penyelidikan,PENGHINAAN DAN PENCEMARAN NAMA BAIK MELALUI AKUN FACEBOOK,Kristen
30,anger,foto saya di instagram masih ada cuma lupa password instanya jadi ngga bisa di buka    ini pasti salah pemerintah dan instagram kenapa sampai pakai password segala    tuh sampai lupa khan aku  ,Laki-laki,pelacur,pengancaman,Putusan,mengubah dan menampilkan tulisan pada running Text milik Hotel Megaland dengan tulisan “TERIMA SERVICE JEMBUT MEMEK”. Yang terjadi pada hari Rabu Tanggal 28 Februari 2018 sekira pukul 20.00 WIB di Hotel Megaland Surakarta,Kristen Protestan
31,fear,drama kmarin sore   seharian puasa terus pas lagi mandi kaget bcz kedatangan tamu tidak diundang pas banget woi pas lagi adzan maghrib terus jadi galau dong seharian itu dianggap sah puasa apa enggak   ,Laki-laki,"bom, tidak tahu diri",KUHP Pasal 310,Penyelidikan,LEWAT STATUS DI WHATSAPP BERISI DAGANGAN SATE KORBAN YANG DICAMPUR DENGAN KEPALA TIKUS DST……,Islam
32,sadness,sungguh mencintaimu berat sekali  berpisah denganmu apalagi        selalu bikin baper tapi sukses melupakan laper    ,Laki-laki,penipu,UU ITE 27 Ayat 3,vonis 2 tahun,"Tersangka MEMBUAT, MERUBAH FOTO DAN MENYEBARLUASKAN di Grup wasehingga korban merasa MALU DAN NAMA BAIK TERCEMAR",Islam
33,anger,  pas sudah dikirim kembali  si kurir telp ngeluh dan mager buat nganter ke alamat yang bener  malah minta ketemuan di titik yang dia tau itupun dia tidak mau susah  no puter balik  harus searah sama arah kendaraan dia jalan ,Perempuan,"peselingkuh gatel, bangsat, asu",UU ITE 27 Ayat 3,Restorative Justice,"DI GRUP WHATSAPP, KORBAN MENGIRIM MAKANAN UNTUK SAUDARA PELAKU DAN SELANJUTNYA DIFOTO DAN DIKIRIM KE GRUP WHATSAPP KELUARGA PELAKU DAN DIKOMENTARI DENGAN KATA KATA TIDAK MENYENANGKAN YAITU “ATI-ATI",Kristen Protestan
34,happy,pada akhirnya kita akan melewati semua ini  semua yang dulu kita bayangkan betapa sulitnya  kita lalui juga  di akhir kita hanya bisa belajar  belajar  dan belajar  memetik semua hikmah yang bisa kita petik  mempersiapkan untuk kedepan ,Laki-laki,"pembohong, pendusta",pengancaman,Restorative Justice,"DI GRUP WHATSAPP, KORBAN MENGIRIM MAKANAN UNTUK SAUDARA PELAKU DAN SELANJUTNYA DIFOTO DAN DIKIRIM KE GRUP WHATSAPP KELUARGA PELAKU DAN DIKOMENTARI DENGAN KATA KATA TIDAK MENYENANGKAN YAITU “ATI-ATI",Kristen Protestan
35,love,kenapa pasangan seringkali diibaratkan sebagai  rumah   karena rasa nyaman bersamanya senyaman berada di rumah  kamu bisa jadi apa saja  kamu selalu pulang menujunya ,Laki-laki,pelacur,UU ITE 27 Ayat 3,lidik,PENCEMARAN NAMA BAIK,Kristen Protestan
36,fear,ya tau kalau rasa sakit hati memamg sulit  tapi ada kala nya saat di jenjang rumah tangga jangan lah di publikan situasi saat ini   media itu jahat enggak menyelesaikan masalah dengan terlontarnya kata demi kata,Perempuan,"fuck, fucking bitch, fat bitch",KUHP Pasal 310,lidik,PENCEMARAN NAMA BAIK,Kristen
37,happy,ponakan kelas  sd  lagi demen nonton video tutorial masak   craft   youtube  aku kelas  sd  udah baca novel marga   amp mira aku  minjem punya sepupu,Laki-laki,"fuck, fucking bitch, fat bitch",UU ITE 27 Ayat 3,vonis 2 tahun,"Tersangka MEMBUAT, MERUBAH FOTO DAN MENYEBARLUASKAN di Grup wasehingga korban merasa MALU DAN NAMA BAIK TERCEMAR",Kristen
38,happy,bberapa tahun kemudian kesejahteraan keluarga makmak ini teus meningkat  sampailah suaminya itu dpet pangkat yang tinggi  kurang paham juga tentang pangkatan di tni  pokonya sudah hidup bekecukupan ,Perempuan,"selingkuh, lobang kubur",Pencemaran,vonis 2 tahun,"Tersangka MEMBUAT, MERUBAH FOTO DAN MENYEBARLUASKAN di Grup wasehingga korban merasa MALU DAN NAMA BAIK TERCEMAR",Kristen
39,sadness,bukan tidak mendukung atau mendoakan  cuma menyikapi apa yang sudah  itu pilihanmu dan berupayalah mempertahankannya   disini aku dari jauh seharusnya bahagia tapi melihatmu sedih kebahagianku pudar   seperti saat kala itu menerima undangan pernikahanmu ,Laki-laki,penipu,UU ITE 27 Ayat 3,Restorative Justice,PENGHINAAN DAN PENCEMARAN NAMA BAIK MELALUI AKUN FACEBOOK,Islam
40,happy,jne jnt selama saya pake entah kirim paket beli olshop jastip dari luar kota sampai beda pulau maksimal  hari sampai mau itu dia pake mobil susah cari alamat bingung tidak bisa masuk kompleks gang meski malem sekalipun dibelain jalan ke rumah sampai paketan terkirim dengan baik ,Laki-laki,"fuck, fucking bitch, fat bitch",KUHP Pasal 310,lidik,LEWAT STATUS DI WHATSAPP BERISI DAGANGAN SATE KORBAN YANG DICAMPUR DENGAN KEPALA TIKUS DST……,Islam
41,anger,gemes banget sama orang yang masih menganggap wajar pelecehan sexual secara verbal  mau verbal atau fisik atau apapun  itu tetap tidak dibenarkan ,Laki-laki,"babi, muslim, fuck",UU ITE 27 Ayat 3,vonis 2 tahun,mengubah dan menampilkan tulisan pada running Text milik Hotel Megaland dengan tulisan “TERIMA SERVICE JEMBUT MEMEK”. Yang terjadi pada hari Rabu Tanggal 28 Februari 2018 sekira pukul 20.00 WIB di Hotel Megaland Surakarta,Islam
42,fear,apa hukumnya bermain musik stad  jelas haroooom hukumnya  berdosa kita memainkannya  begitulah kira kira percakapan yang terjadi antara penanya dan seorang ustad disebuah acara tv yang intronya pake musik  ,Perempuan,"pembohong, pendusta",Pencemaran nama baik,Naik kejaksaan,PENCEMARAN NAMA BAIK,Kristen Protestan
43,anger,apa hebatnya mardani  menurut saya oeang ini cuma besar mulut saja faktanya sampai saat ini belum menyebutkan capres lagipula kalau koalisinya hanya pks dan gerindra tidak mungkin lah yaow,Laki-laki,"peselingkuh gatel, bangsat, asu",Pencemaran,dihentikan karena restorative jaustice,PENGHINAAN DAN PENCEMARAN NAMA BAIK MELALUI AKUN FACEBOOK,Kristen
44,sadness,oh iya  ibu nya ngelahirin anak ke  yaitu cewek tapi tidak tahu tahun berapa nya  lanjut yang tadi  baru saja setahun di kasih kenikmatan datang lagi ujian buat si makmak kali ini mungkin berat  dia di tinggal suaminya meninggal  seketika ibu itu jadi singel parent,Laki-laki,"fuck, fucking bitch, fat bitch","Pasal 45 ayat (3) Jo Pasal 27 ayat (3) Undang-Undang Nomor 19 Tahun 2016 tentang Perubahan Atas Undang-Undang Nomor 11 Tahun 2008, tentang Informasi Dan Transaksi Elektronik (Penghinaan/PNB).",dihentikan karena restorative jaustice,PENCEMARAN NAMA BAIK,Islam
45,happy,z suka twitter soalnya perempuan ji semua temanku dsni biar mengomel sampai tablengker ndada bahayanya    bahas  monsteration  juga bebas   bahas nda puasa juga bebas      di wa mau update status streskan  monsteration  kt harus pi dulu blok semua cowo baru mengupdate ,Laki-laki,"babi, muslim, fuck",Pasal 315 KUHP,vonis 2 tahun,LEWAT STATUS DI WHATSAPP BERISI DAGANGAN SATE KORBAN YANG DICAMPUR DENGAN KEPALA TIKUS DST……,Islam
46,anger,nggak ngerti lagi sama ciwi ciwi yang nyinyirin via vallen ini  dia itu korban loh  sesusah itukah untuk saling support satu sama lain gurlzz ,Laki-laki,"fuck, fucking bitch, fat bitch",Pencemaran,Putusan,"DI GRUP WHATSAPP, KORBAN MENGIRIM MAKANAN UNTUK SAUDARA PELAKU DAN SELANJUTNYA DIFOTO DAN DIKIRIM KE GRUP WHATSAPP KELUARGA PELAKU DAN DIKOMENTARI DENGAN KATA KATA TIDAK MENYENANGKAN YAITU “ATI-ATI",Kristen
47,anger,hari ini libur  rencananya mau nonton jurassic world  tapi kayanya gajadi deh mengingat kondisi yang tidak fit banget ini sebel  rusak rencana sebelanga   sebel akutu,Perempuan,"bom, tidak tahu diri",Pasal 315 KUHP,Restorative Justice,LEWAT STATUS DI WHATSAPP BERISI DAGANGAN SATE KORBAN YANG DICAMPUR DENGAN KEPALA TIKUS DST……,Islam
48,anger,nah ini  yang nunggu anak anteng dengan kesabaran seluas samudra terus bapaknya dateng bikin anak nangis  hmmm kuingin marah melampiaskan,Laki-laki,"Cina, anus, toilet, jamban, tai",Pencemaran nama baik,dihentikan karena restorative jaustice,mengubah dan menampilkan tulisan pada running Text milik Hotel Megaland dengan tulisan “TERIMA SERVICE JEMBUT MEMEK”. Yang terjadi pada hari Rabu Tanggal 28 Februari 2018 sekira pukul 20.00 WIB di Hotel Megaland Surakarta,Kristen
49,love,ku rindu bisik mu di telingaku seraya kau berkata  semoga kelak kau menjadi anak yang berguna bagi banyak orang dan semoga kau selalu menyayangi kami orang tua mu  ,Perempuan,"fuck, fucking bitch, fat bitch","Pasal 45 ayat (3) Jo Pasal 27 ayat (3) Undang-Undang Nomor 19 Tahun 2016 tentang Perubahan Atas Undang-Undang Nomor 11 Tahun 2008, tentang Informasi Dan Transaksi Elektronik (Penghinaan/PNB).",vonis 2 tahun,LEWAT STATUS DI WHATSAPP BERISI DAGANGAN SATE KORBAN YANG DICAMPUR DENGAN KEPALA TIKUS DST……,Kristen
50,anger,ini hasil sekolah asal sekolah     mikirlah mahkamah internasional itu punya kewenangan mengadili perkara genosida dsbnya    ,Perempuan,"babi, muslim, fuck",UU ITE 27 Ayat 3,Penyelidikan,mengubah dan menampilkan tulisan pada running Text milik Hotel Megaland dengan tulisan “TERIMA SERVICE JEMBUT MEMEK”. Yang terjadi pada hari Rabu Tanggal 28 Februari 2018 sekira pukul 20.00 WIB di Hotel Megaland Surakarta,Islam
51,anger,lah elu yang harusnya ditanya teh  kenapa bisa berasumsi guw mah kacang tanpa kulit  maksudnya apa hayo  ke sana juga kan maksud loooo,Laki-laki,"babi, biongo",pengancaman,Penyelidikan,PENCEMARAN NAMA BAIK,Kristen Protestan
52,anger,web permata krg profesional  ada program cashback rb token pln  waktu di klik info  masuknya ke program paket kuota data  piye iki ,Laki-laki,"peselingkuh gatel, bangsat, asu",UU ITE 27 Ayat 3,Putusan,PENCEMARAN NAMA BAIK,Kristen Protestan
53,fear,nah     yang saya takutkan itu mas  nanti di tumpangi politik dibalut agama  itu yang bahaya  soale masyarakat kita sedang sensitif dengan hal tersebut ,Laki-laki,penipu,Pencemaran nama baik,Naik kejaksaan,LEWAT STATUS DI WHATSAPP BERISI DAGANGAN SATE KORBAN YANG DICAMPUR DENGAN KEPALA TIKUS DST……,Islam
54,sadness,mau cerita kesiapa kalau udah seperti begini  hancur hidup ini pikirin dong gimana hati ku aku sedih  aku nangis sampai menetes air mata ini kayaknya lirik lagu sayang pia palen deh wkwkw,Perempuan,penipu,"Pasal 45 ayat (3) Jo Pasal 27 ayat (3) Undang-Undang Nomor 19 Tahun 2016 tentang Perubahan Atas Undang-Undang Nomor 11 Tahun 2008, tentang Informasi Dan Transaksi Elektronik (Penghinaan/PNB).",Putusan,PENGHINAAN DAN PENCEMARAN NAMA BAIK MELALUI AKUN FACEBOOK,Kristen
55,sadness,setelah hari puasa dan saur tidak pernah kesiangan  akhirnya di hari ke ngerasain makan saur supeerrr dupeerr ekspress  menit sebelum imsak baru bangun yassalaaam,Perempuan,"pembohong, pendusta",Pencemaran,Restorative Justice,"DI GRUP WHATSAPP, KORBAN MENGIRIM MAKANAN UNTUK SAUDARA PELAKU DAN SELANJUTNYA DIFOTO DAN DIKIRIM KE GRUP WHATSAPP KELUARGA PELAKU DAN DIKOMENTARI DENGAN KATA KATA TIDAK MENYENANGKAN YAITU “ATI-ATI",Kristen
56,fear,jadi ada thr tapi dari apbd  yang punya kuasa takut  kalau kalau di garis bawahi sama kpk  dan jadilah mereka ggl dapat thr tahun ini  kok bisa gitu ya  buk mentri bilang aman  yang lain ketakutan ,Perempuan,penipu,UU ITE 27 Ayat 3,Putusan,"DI GRUP WHATSAPP, KORBAN MENGIRIM MAKANAN UNTUK SAUDARA PELAKU DAN SELANJUTNYA DIFOTO DAN DIKIRIM KE GRUP WHATSAPP KELUARGA PELAKU DAN DIKOMENTARI DENGAN KATA KATA TIDAK MENYENANGKAN YAITU “ATI-ATI",Kristen
57,anger,tolong bantu saya    kenapa ya lptop saya sudah  kali kok tidak bisa buka dokumen pasti not responding padahal sudah pernah dibawa ke hp center semoga   apakah lptop saya termasuk produk gagal atau gimana beli  maret    dan kalau gini terus kan jadi jgkel sndri ,Laki-laki,"fuck, fucking bitch, fat bitch",Pencemaran,dihentikan karena restorative jaustice,PENGHINAAN DAN PENCEMARAN NAMA BAIK MELALUI AKUN FACEBOOK,Kristen Protestan
58,anger,ini udah masuk ke proses penjualan    tapi pas dibuka detail ko malah gini  apakah produk sedang diproses atau diproses tanggal  ,Perempuan,"babi, biongo",Pasal 315 KUHP,Putusan,mengubah dan menampilkan tulisan pada running Text milik Hotel Megaland dengan tulisan “TERIMA SERVICE JEMBUT MEMEK”. Yang terjadi pada hari Rabu Tanggal 28 Februari 2018 sekira pukul 20.00 WIB di Hotel Megaland Surakarta,Islam
59,anger,   semen indonesia belum nambang loh di rembang   malah ada perusahaan yang lokasi hanya  meter dari areal tambang semen tidak pernah diprotes dan ini sudah bertahun lamanya   kenapa kok pas semen diprotes ,Perempuan,"pembohong, pendusta",Pencemaran nama baik,Penyelidikan,"Tersangka MEMBUAT, MERUBAH FOTO DAN MENYEBARLUASKAN di Grup wasehingga korban merasa MALU DAN NAMA BAIK TERCEMAR",Islam
